,sec_id,sec_isin,sec_type,sec_name,iid,security_mnemonic,standard_settlement_period,price_unit,security_subtype,margin_class_code,basket_isin,currency,_id,symbol,yahoo,google,isin,DAX,MDAX,AEX,CAC 40,FTSE 100
0,ADS,DE000A1EWWW0,STOCK,ADIDAS AG,1647,ADS,2,ABSOLUTE,EQUITY,ADS2,False,EUR,adidas AG,ADS,ADS.F,FRA:ADS,DE000A1EWWW0,1,0,0,0,0
1,ALV,DE0008404005,STOCK,ALLIANZ SE,2609,ALV,2,ABSOLUTE,EQUITY,ALV0,False,EUR,Allianz SE,ALV,ALV.F,FRA:ALV,DE0008404005,1,0,0,0,0
2,BAS,DE000BASF111,STOCK,"BASF SE., INHABERAKTIEN O.N.",1879,BAS,2,ABSOLUTE,EQUITY,DE30,False,EUR,BASF SE,BAS,BAS.F,FRA:BAS,DE000BASF111,1,0,0,0,0
3,BAY,DE000BAY0017,STOCK,BAYER AG,2195,BAYN,2,ABSOLUTE,EQUITY,BAYN,False,EUR,Bayer AG,BAYN,BAYN.F,FRA:BAYN,DE000BAY0017,1,0,0,0,0
4,BEI,DE0005200000,STOCK,BEIERSDORF AKTIENGESELLSCHAFT,2291,BEI,2,ABSOLUTE,EQUITY,BEI0,False,EUR,Beiersdorf AG,BEI,BEI.F,FRA:BEI,DE0005200000,1,0,0,0,0
5,BMW,DE0005190003,STOCK,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT,1465,BMW,2,ABSOLUTE,EQUITY,BMW0,False,EUR,Bayerische Motoren Werke AG,BMW,BMW.F,FRA:BMW,DE0005190003,1,0,0,0,0
6,CON,DE0005439004,STOCK,CONTINENTAL AG,1323,CON,2,ABSOLUTE,EQUITY,CON0,False,EUR,Continental AG,CON,CON.F,FRA:CON,DE0005439004,1,0,0,0,0
7,1COV,DE0006062144,STOCK,COVESTRO AG,9788744,1COV,2,ABSOLUTE,EQUITY,DE7L,False,EUR,Covestro AG,1COV,1COV.F,FRA:1COV,DE0006062144,1,0,0,0,0
8,DBK,DE0005140008,STOCK,DEUTSCHE BANK AKTIENGESELLSCHAFT,2959,DBK,2,ABSOLUTE,EQUITY,DBK0,False,EUR,Deutsche Bank AG,DBK,DBK.F,FRA:DBK,DE0005140008,1,0,0,0,0
9,DB1,DE0005810055,STOCK,DEUTSCHE BOERSE AG,1769,DB1,2,ABSOLUTE,EQUITY,DB10,False,EUR,Deutsche Börse AG,DB1,DB1.F,FRA:DB1,DE0005810055,1,0,0,0,0
10,DPW,DE0005552004,STOCK,DEUTSCHE POST AKTIENGESELLSCHAFT,1237,DPW,2,ABSOLUTE,EQUITY,DPW0,False,EUR,Deutsche Post AG,DPW,DPW.F,FRA:DPW,DE0005552004,1,0,0,0,0
11,DTE,DE0005557508,STOCK,DEUTSCHE TELEKOM AKTIENGESELLSCHAFT,1911,DTE,2,ABSOLUTE,EQUITY,DTE0,False,EUR,Deutsche Telekom AG,DTE,DTE.F,FRA:DTE,DE0005557508,1,0,0,0,0
12,EOA,DE000ENAG999,STOCK,E.ON SE,1721,EOAN,2,ABSOLUTE,EQUITY,EOAN,False,EUR,E.ON SE,EOAN,EOAN.F,FRA:EOAN,DE000ENAG999,1,0,0,0,0
13,FME,DE0005785802,STOCK,FRESENIUS MEDICAL CARE AG & CO. KGAA,2531,FME,2,ABSOLUTE,EQUITY,FME0,False,EUR,Fresenius Medical Care AG & Co. KGaA St,FME,FME.F,FRA:FME,DE0005785802,1,0,0,0,0
14,FRE,DE0005785604,STOCK,FRESENIUS SE & CO. KGAA,2173,FRE,2,ABSOLUTE,EQUITY,FRE0,False,EUR,Fresenius SE & Co. KGaA,FRE,FRE.F,FRA:FRE,DE0005785604,1,0,0,0,0
15,HEI,DE0006047004,STOCK,HEIDELBERGCEMENT,1403,HEI,2,ABSOLUTE,EQUITY,HEI0,False,EUR,HeidelbergCement AG,HEI,HEI.F,FRA:HEI,DE0006047004,1,0,0,0,0
16,HEN,DE0006048408,STOCK,HENKEL AG & CO. KGAA STAMMAKTIEN,2205,HEN,2,ABSOLUTE,EQUITY,HEN0,False,EUR,Henkel AG & Co. KGaA Vz,HEN3,HEN3.F,FRA:HEN3,DE0006048408,1,0,0,0,0
17,IFX,DE0006231004,STOCK,INFINEON AG,801,IFX,2,ABSOLUTE,EQUITY,IFX0,False,EUR,Infineon Technologies AG,IFX,IFX.F,FRA:IFX,DE0006231004,1,0,0,0,0
18,LIN,IE00BZ12WP82,STOCK,LINDE PLC,25046079,,2,ABSOLUTE,EQUITY,L6N0,False,EUR,Linde PLC,LIN,LIN.F,FRA:LIN,IE00BZ12WP82,1,0,0,0,0
19,MRK,DE0006599905,STOCK,MERCK KGAA,481,MRK,2,ABSOLUTE,EQUITY,MRK0,False,EUR,MERCK Kommanditgesellschaft auf Aktien,MRK,MRK.F,FRA:MRK,DE0006599905,1,0,0,0,0
20,MUV2,DE0008430026,STOCK,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG VNA,2533,MUV2,2,ABSOLUTE,EQUITY,MUV0,False,EUR,Münchener Rückversicherungs-Gesellschaft AG,MUV2,MUV2.F,FRA:MUV2,DE0008430026,1,0,0,0,0
21,RWE,DE0007037129,STOCK,RWE AKTIENGESELLSCHAFT - ST -,1891,RWE,2,ABSOLUTE,EQUITY,RWE0,False,EUR,RWE AG,RWE,RWE.F,FRA:RWE,DE0007037129,1,0,0,0,0
22,SAP,DE0007164600,STOCK,SAP SE,1261,SAP,2,ABSOLUTE,EQUITY,SAP0,False,EUR,SAP SE,SAP,SAP.F,FRA:SAP,DE0007164600,1,0,0,0,0
23,SIE,DE0007236101,STOCK,SIEMENS AG,1985,SIE,2,ABSOLUTE,EQUITY,SIE0,False,EUR,Siemens AG,SIE,SIE.F,FRA:SIE,DE0007236101,1,0,0,0,0
24,VOW,DE0007664005,STOCK,VOLKSWAGEN AKTIENGESELLSCHAFT -STAEMME-,633,VOW,2,ABSOLUTE,EQUITY,VOW0,False,EUR,Volkswagen AG,VOW3,VOW3.F,FRA:VOW3,DE0007664005,1,0,0,0,0
25,ANN,DE000A1ML7J1,STOCK,VONOVIA SE,4371527,VNA,2,ABSOLUTE,EQUITY,ANN0,False,EUR,Vonovia SE,VNA,VNA.F,FRA:VNA,DE000A1ML7J1,1,0,0,0,0
